"COD_CURSO","COD_DISCIPLINA","TIPO","DISCIPLINA","CREDITOS","COD_SETOR","SEMESTRE_IDEAL"
14102100,1411283,"Optativa","TECC(FUNDAMENTOS DE PROG CONCORRENTE)",4,"14110000",
14102100,1411284,"Optativa","TECC (PROGRAMAÇÃO EM BANCO DE DADOS)",4,"14110000",
14102100,1411285,"Optativa","TECC (DIDÁTICA EM CIÊNCIA DA COMPUTAÇÃO)",2,"14110000",
14102100,1411286,"Optativa","TECC(METODOS E P T G M DADOS HISTORICOS)",6,"14110000",
14102100,1411287,"Optativa","TECC(M E E DE P DE T EM G M DE D HIST II",6,"14110000",
14102100,1411288,"Optativa","TECC (DIDÁT. CIÊNCIA DA COMPUTAÇÃO II)",2,"14110000",
14102100,1411289,"Optativa","TECC (ANÁLISE DE DADOS I)",4,"14110000",
14102100,1411290,"Optativa","TECC(JOGOS DIGITAIS)",4,"14110000",
14102100,1411291,"Optativa","TECC (PROJETO EM COMPUTAÇÃO GRÁFICA)",4,"14110000",
14102100,1411292,"Optativa","TECC (ANÁLISE DE DADOS II)",4,"14110000",
14102100,1411293,"Optativa","TECC(LAB DE ADMINISTRACAO DE SISTEMAS I)",2,"14110000",
14102100,1411294,"Optativa","TECC(PROJETO INTERDISCIPLINAR)",4,"14110000",
14102100,1411295,"Optativa","TECC(PROJETO EM ARTE E TECNOLOGIA)",4,"14110000",
14102100,1411296,"Optativa","TECC(VISUALIZACAO DE DADOS)",2,"14110000",
14102100,1411297,"Optativa","TECC(PROCESSAMENTO DE SINAIS MULTIMIDIA)",4,"14110000",
14102100,1411298,"Optativa","TECC(PROV E OPERACOES DE INFRAESTRUTURA)",4,"14110000",
